item_identifier,result,date,new_value
1,17.96,07/09/2019,1
2,13.94,05/21/2019,81
3,69.07,12/30/1899,18
4,82.14,12/30/1899,30
5,23.78,01/13/2019,1
6,16.52,06/07/2019,30
7,75.01,04/24/2019,99
8,5.68,08/22/2019,88
9,8.85,06/21/2019,100
10,19.7,06/28/2019,46
11,34.66,05/09/2019,1
12,50.64,04/10/2019,76
13,0.15,01/15/2019,74
14,19.05,07/18/2019,99
15,58.97,03/08/2019,13
16,50.81,03/07/2019,31
17,0.55,06/30/2019,65
18,70.15,12/30/1899,65
19,57.25,12/30/1899,14
20,50.16,04/10/2019,53
21,37.33,01/11/2019,35
22,31.18,04/02/2019,15
23,16.43,08/05/2019,91
24,32.79,02/16/2019,77
25,10.31,02/24/2019,79
26,15.77,05/01/2019,1
27,14.89,03/21/2019,51
28,41.45,04/10/2019,70
29,13.72,07/08/2019,71
30,41.91,04/19/2019,64
31,10.16,04/19/2019,17
32,4.02,03/26/2019,11
33,18.35,12/30/1899,68
34,86.46,12/30/1899,22
35,41.57,07/01/2019,59
36,2.66,01/15/2019,1
37,47.56,02/16/2019,34
38,17.66,02/28/2019,76
39,9.38,05/18/2019,1
40,6.88,03/08/2019,86
41,8.37,07/18/2019,11
42,6.2,08/16/2019,100
43,10.13,03/09/2019,53
44,21.94,05/13/2019,1
45,3.76,08/16/2019,46
46,8.92,01/05/2019,70
47,58.29,03/19/2019,90
48,6.09,12/30/1899,26
49,2.87,12/30/1899,32
50,48.86,08/25/2019,1
51,48.48,02/24/2019,27
52,10.56,06/19/2019,29
53,9.93,06/27/2019,49
54,41.85,02/13/2019,20
55,39.36,02/17/2019,15
56,39.73,08/19/2019,49
57,50.67,02/08/2019,1
58,0.52,08/09/2019,93
59,5.76,05/09/2019,39
60,29.85,04/13/2019,80
61,6.26,05/10/2019,40
62,13.65,08/17/2019,86
63,30.55,12/30/1899,16
64,33.51,12/30/1899,79
65,22.15,01/23/2019,15
66,27.81,07/03/2019,93
67,29.86,04/04/2019,88
68,32.82,02/14/2019,79
69,20.31,03/28/2019,73
70,18.54,06/24/2019,49
71,10.23,05/20/2019,16
72,36.56,06/16/2019,10
73,2.1,04/29/2019,1
74,0.2,06/03/2019,74
75,88.55,07/15/2019,33
76,6.85,07/18/2019,24
77,19.47,06/21/2019,28
78,5.52,12/30/1899,36
79,28.71,12/30/1899,69
80,4.19,01/03/2019,73
81,7.43,08/12/2019,37
82,90.51,01/09/2019,91
83,17.15,03/15/2019,1
84,2.99,06/23/2019,83
85,49.0,01/20/2019,11
86,49.73,04/15/2019,23
87,28.91,05/14/2019,71
88,17.52,06/19/2019,22
89,59.37,01/07/2019,86
90,7.65,07/14/2019,1
91,2.24,02/03/2019,16
92,31.83,02/22/2019,18
93,14.78,08/13/2019,88
94,36.77,07/25/2019,51
95,7.09,01/04/2019,57
96,6.7,06/15/2019,1
97,34.21,03/12/2019,28
98,41.5,04/08/2019,19
99,2.48,02/20/2019,83
